time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1570291188.789397,6,148,213.123.204.222,172.19.98.240,22,43144
1570291188.809037,6,116,172.19.98.240,213.123.204.222,43144,22
1570291188.887015,6,148,213.123.204.222,172.19.98.240,22,43144
1570291188.900813,6,116,172.19.98.240,213.123.204.222,43144,22
1570291188.98333,6,148,213.123.204.222,172.19.98.240,22,43144
1570291189.049247,6,116,172.19.98.240,213.123.204.222,43144,22
1570291189.12677,6,148,213.123.204.222,172.19.98.240,22,43144
1570291189.163112,6,116,172.19.98.240,213.123.204.222,43144,22
1570291189.240863,6,148,213.123.204.222,172.19.98.240,22,43144
1570291189.299718,6,116,172.19.98.240,213.123.204.222,43144,22
1570291189.376825,6,148,213.123.204.222,172.19.98.240,22,43144
1570291189.421054,6,116,172.19.98.240,213.123.204.222,43144,22
1570291189.499897,6,148,213.123.204.222,172.19.98.240,22,43144
1570291190.114798,6,116,172.19.98.240,213.123.204.222,43144,22
1570291190.195911,6,148,213.123.204.222,172.19.98.240,22,43144
1570291190.394449,6,116,172.19.98.240,213.123.204.222,43144,22
1570291190.47366,6,148,213.123.204.222,172.19.98.240,22,43144
1570291190.510802,6,116,172.19.98.240,213.123.204.222,43144,22
1570291190.586376,6,116,172.19.98.240,213.123.204.222,43144,22
1570291190.588609,6,148,213.123.204.222,172.19.98.240,22,43144
1570291190.667777,6,196,213.123.204.222,172.19.98.240,22,43144
1570291190.898475,6,116,172.19.98.240,213.123.204.222,43144,22
1570291190.977341,6,132,213.123.204.222,172.19.98.240,22,43144
1570291191.015739,6,372,213.123.204.222,172.19.98.240,22,43144
1570291191.100103,6,116,172.19.98.240,213.123.204.222,43144,22
1570291191.171222,6,116,172.19.98.240,213.123.204.222,43144,22
1570291191.177934,6,132,213.123.204.222,172.19.98.240,22,43144
1570291191.217051,6,468,213.123.204.222,172.19.98.240,22,43144
1570291191.25337,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291191.253609,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291191.253661,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291191.253742,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291191.259053,6,472,213.123.204.222,172.19.98.240,22,43144
1570291191.300777,6,724,213.123.204.222,172.19.98.240,22,43144
1570291191.398745,6,132,172.19.98.240,213.123.204.222,43144,22
1570291191.477492,6,372,213.123.204.222,172.19.98.240,22,43144
1570291191.644519,6,132,172.19.98.240,213.123.204.222,43144,22
1570291191.724176,6,196,213.123.204.222,172.19.98.240,22,43144
1570291192.288095,6,116,172.19.98.240,213.123.204.222,43144,22
1570291192.367137,6,148,213.123.204.222,172.19.98.240,22,43144
1570291192.428278,6,468,213.123.204.222,172.19.98.240,22,43144
1570291192.467788,6,580,213.123.204.222,172.19.98.240,22,43144
1570291207.408043,6,308,213.123.204.222,172.19.98.240,22,43144
1570291220.618303,6,116,172.19.98.240,213.123.204.222,43144,22
1570291220.680829,6,116,172.19.98.240,213.123.204.222,43144,22
1570291220.698081,6,116,213.123.204.222,172.19.98.240,22,43144
1570291220.75829,6,116,213.123.204.222,172.19.98.240,22,43144
1570291220.79346,6,116,172.19.98.240,213.123.204.222,43144,22
1570291220.82753,6,116,172.19.98.240,213.123.204.222,43144,22
1570291220.870972,6,116,213.123.204.222,172.19.98.240,22,43144
1570291220.902625,6,116,172.19.98.240,213.123.204.222,43144,22
1570291220.941224,6,116,213.123.204.222,172.19.98.240,22,43144
1570291221.023755,6,116,213.123.204.222,172.19.98.240,22,43144
1570291221.024306,6,116,172.19.98.240,213.123.204.222,43144,22
1570291221.085572,6,116,172.19.98.240,213.123.204.222,43144,22
1570291221.101418,6,116,213.123.204.222,172.19.98.240,22,43144
1570291221.185137,6,116,213.123.204.222,172.19.98.240,22,43144
1570291221.236279,6,116,172.19.98.240,213.123.204.222,43144,22
1570291221.336428,6,132,213.123.204.222,172.19.98.240,22,43144
1570291221.768502,6,116,172.19.98.240,213.123.204.222,43144,22
1570291222.069093,6,116,172.19.98.240,213.123.204.222,43144,22
1570291222.2636,6,148,213.123.204.222,172.19.98.240,22,43144
1570291222.27195,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291222.272042,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291222.301782,6,940,213.123.204.222,172.19.98.240,22,43144
1570291222.782747,6,132,172.19.98.240,213.123.204.222,43144,22
1570291222.862285,6,340,213.123.204.222,172.19.98.240,22,43144
1570291222.949773,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.026833,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.109633,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.187622,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.238437,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.316049,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.379478,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.458428,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.551093,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.628427,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.702724,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.780249,6,116,213.123.204.222,172.19.98.240,22,43144
1570291223.856547,6,132,172.19.98.240,213.123.204.222,43144,22
1570291223.934996,6,116,213.123.204.222,172.19.98.240,22,43144
1570291224.04998,6,132,172.19.98.240,213.123.204.222,43144,22
1570291224.129553,6,116,213.123.204.222,172.19.98.240,22,43144
1570291224.942659,6,132,172.19.98.240,213.123.204.222,43144,22
1570291225.022206,6,148,213.123.204.222,172.19.98.240,22,43144
1570291225.177745,6,132,172.19.98.240,213.123.204.222,43144,22
1570291225.257129,6,148,213.123.204.222,172.19.98.240,22,43144
1570291225.336262,6,132,172.19.98.240,213.123.204.222,43144,22
1570291225.413681,6,148,213.123.204.222,172.19.98.240,22,43144
1570291226.018832,6,132,172.19.98.240,213.123.204.222,43144,22
1570291226.104709,6,116,213.123.204.222,172.19.98.240,22,43144
1570291226.422643,6,132,172.19.98.240,213.123.204.222,43144,22
1570291226.502139,6,132,213.123.204.222,172.19.98.240,22,43144
1570291226.62571,6,132,172.19.98.240,213.123.204.222,43144,22
1570291226.705183,6,148,213.123.204.222,172.19.98.240,22,43144
1570291226.769126,6,132,172.19.98.240,213.123.204.222,43144,22
1570291226.852662,6,148,213.123.204.222,172.19.98.240,22,43144
1570291227.393054,6,132,172.19.98.240,213.123.204.222,43144,22
1570291227.472624,6,132,213.123.204.222,172.19.98.240,22,43144
1570291227.892754,6,132,172.19.98.240,213.123.204.222,43144,22
1570291227.92375,6,132,172.19.98.240,213.123.204.222,43144,22
1570291227.962821,6,132,172.19.98.240,213.123.204.222,43144,22
1570291227.973477,6,148,213.123.204.222,172.19.98.240,22,43144
1570291227.986916,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.01289,6,148,213.123.204.222,172.19.98.240,22,43144
1570291228.019924,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.049278,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.062362,6,148,213.123.204.222,172.19.98.240,22,43144
1570291228.081147,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.114675,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.124761,6,244,213.123.204.222,172.19.98.240,22,43144
1570291228.142722,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.171781,6,132,172.19.98.240,213.123.204.222,43144,22
1570291228.191413,6,244,213.123.204.222,172.19.98.240,22,43144
1570291228.202421,6,132,172.19.98.240,213.123.204.222,43144,22
