=== PIE Network Simulation Events ===

00:00.005 - === Starting Packet Generation ===
00:00.006 - === Starting Packet Processing ===
00:02.879 - Packet 41 (size: 1448 bytes) processed
00:02.908 - Generated Packet 93 (size: 1448 bytes)
00:02.939 - Generated Packet 94 (size: 1448 bytes)
00:02.971 - Generated Packet 95 (size: 1448 bytes)
00:03.002 - Generated Packet 96 (size: 1448 bytes)
00:03.018 - Packet 43 (size: 1448 bytes) processed
00:03.034 - Generated Packet 97 (size: 1448 bytes)
00:03.065 - Generated Packet 98 (size: 1448 bytes)
00:03.095 - Generated Packet 99 (size: 115 bytes)
00:03.126 - Generated Packet 100 (size: 44 bytes)
00:03.157 - Generated Packet 101 (size: 44 bytes)
00:03.162 - Packet 45 (size: 1448 bytes) processed
00:03.189 - Generated Packet 102 (size: 308 bytes)
00:03.221 - Generated Packet 103 (size: 320 bytes)
00:03.252 - Generated Packet 104 (size: 155 bytes)
00:03.282 - Generated Packet 105 (size: 181 bytes)
00:03.298 - Packet 47 (size: 1448 bytes) processed
00:03.314 - Generated Packet 106 (size: 38 bytes)
00:03.345 - Generated Packet 107 (size: 345 bytes)
00:03.376 - Generated Packet 108 (size: 153 bytes)
00:03.407 - Generated Packet 109 (size: 38 bytes)
00:03.438 - Packet 49 (size: 1448 bytes) processed
00:03.440 - Generated Packet 110 (size: 46 bytes)
00:03.469 - Generated Packet 111 (size: 46 bytes)
00:03.500 - Generated Packet 112 (size: 149 bytes)
00:03.531 - Generated Packet 113 (size: 38 bytes)
00:03.562 - Generated Packet 114 (size: 46 bytes)
00:03.578 - Packet 51 (size: 1448 bytes) processed
00:03.596 - Generated Packet 115 (size: 46 bytes)
00:03.624 - Generated Packet 116 (size: 149 bytes)
00:03.656 - Generated Packet 117 (size: 38 bytes)
00:03.688 - Generated Packet 118 (size: 168 bytes)
00:03.719 - Packet 53 (size: 1448 bytes) processed
00:03.722 - Generated Packet 119 (size: 149 bytes)
00:03.751 - Generated Packet 120 (size: 38 bytes)
00:03.783 - Generated Packet 121 (size: 46 bytes)
00:03.814 - Generated Packet 122 (size: 46 bytes)
00:03.845 - Generated Packet 123 (size: 362 bytes)
00:03.861 - Packet 55 (size: 1448 bytes) processed
00:03.876 - Generated Packet 124 (size: 343 bytes)
00:03.907 - Generated Packet 125 (size: 38 bytes)
00:03.938 - Generated Packet 126 (size: 149 bytes)
00:03.970 - Generated Packet 127 (size: 38 bytes)
00:04.001 - Packet 57 (size: 1448 bytes) processed
00:04.003 - Generated Packet 128 (size: 46 bytes)
00:04.032 - Generated Packet 129 (size: 46 bytes)
00:04.063 - Generated Packet 130 (size: 517 bytes)
00:04.094 - Generated Packet 131 (size: 47 bytes)
00:04.125 - Generated Packet 132 (size: 47 bytes)
00:04.141 - Packet 59 (size: 1448 bytes) processed
00:04.156 - Generated Packet 133 (size: 49 bytes)
00:04.188 - Generated Packet 134 (size: 49 bytes)
00:04.220 - Generated Packet 135 (size: 377 bytes)
00:04.250 - Generated Packet 136 (size: 325 bytes)
00:04.282 - Packet 61 (size: 1448 bytes) processed
00:04.284 - Generated Packet 137 (size: 161 bytes)
00:04.313 - Generated Packet 138 (size: 52 bytes)
00:04.344 - Generated Packet 139 (size: 108 bytes)
00:04.375 - Generated Packet 140 (size: 326 bytes)
00:04.406 - Generated Packet 141 (size: 1448 bytes)
00:04.422 - Packet 63 (size: 1448 bytes) processed
00:04.438 - Generated Packet 142 (size: 887 bytes)
00:04.469 - Generated Packet 143 (size: 181 bytes)
00:04.501 - Generated Packet 144 (size: 1418 bytes)
00:04.532 - Generated Packet 145 (size: 1418 bytes)
00:04.563 - Packet 65 (size: 1448 bytes) processed
00:04.565 - Generated Packet 146 (size: 573 bytes)
00:04.595 - Generated Packet 147 (size: 93 bytes)
00:04.626 - Generated Packet 148 (size: 177 bytes)
00:04.657 - Generated Packet 149 (size: 284 bytes)
00:04.689 - Generated Packet 150 (size: 69 bytes)
00:04.705 - Packet 67 (size: 1448 bytes) processed
00:04.720 - Generated Packet 151 (size: 38 bytes)
00:04.752 - Generated Packet 152 (size: 38 bytes)
00:04.784 - Generated Packet 153 (size: 81 bytes)
